datetime,date,year,month,date,day,time,city,"location (land, in space, at sea, in flight)",state,country,country name,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,sightings
01/28/2009 20:15:00,2009-01-28,2009,Jan,28,Wednesday,20:15:00,bangalore (india),land,Karnataka,in,India,triangle,120,2 minutes,Huge Black Triangle seen over Bangalore,8/5/2009,12.971599,77.594563,1
01/28/2009 20:15:00,2009-01-28,2009,Jan,28,Wednesday,20:15:00,bangalore (india),land,Karnataka,in,India,triangle,120,2 minutes,Huge black triangle seen traveling in North East direction in Bangalore,8/5/2009,12.971599,77.594563,1
12/26/2009 21:09:00,2009-12-26,2009,Dec,26,Saturday,21:09:00,bangalore (india),land,Karnataka,in,India,triangle,30,1 and a half minute,Nagarbhavi in Bangalore&#44 India- Three-winged triangular object with blinking lights.,2/14/2010,12.971599,77.594563,1
02/04/2012 22:43:00,2012-02-04,2012,Feb,04,Saturday,22:43:00,bangalore (india),land,Karnataka,in,India,fireball,480,8 minutes,Seven bright orange-red flashes emitting  aircrafts steadily moving across the Bangalore sky,2/10/2012,12.971599,77.594563,1
11/19/2012 00:05:00,2012-11-19,2012,Nov,19,Monday,0:05:00,bangalore (india),land,Karnataka,in,India,circle,60,less than 1 minute,Red balloon shaped object seen moving right to left across the western sky just after midnight.,11/19/2012,12.971599,77.594563,1
02/16/2014 20:15:00,2014-02-16,2014,Feb,16,Sunday,20:15:00,bangalore (india),land,Karnataka,in,India,diamond,120,2 minutes,Diamond form 5 lights with 1 tail following the primary triangle.,2/21/2014,12.971599,77.594563,1
11/23/2006 19:00:00,2006-11-23,2006,Nov,23,Thursday,19:00:00,barnala sherpur (village) (india),land,Punjab,in,India,triangle,1800,30min,long cyclinderical or triangle ufo sighted in India,12/7/2006,30.438101,75.705165,1
12/07/2012 20:00:00,2012-12-07,2012,Dec,07,Friday,20:00:00,belgaum (india),land,Karnataka,in,India,sphere,10800,3 hours,Dear sir&#44 Me and my frnd had gone for a evening walk &#44 at 18:30  We saw a star like object move in sky rapidly  It moved from SW to N,12/20/2012,15.8667,74.5,1
05/01/1977 19:00:00,1977-05-01,1977,May,01,Sunday,19:00:00,bhandara (near nagpur) (india),land,Maharashtra,in,India,fireball,15,15 seconds,Orange ball&#44 fast moving at low altitude with no sounds,7/5/2008,21.1667,79.65,1
06/30/1978 20:00:00,1978-06-30,1978,Jun,30,Friday,20:00:00,bhandara (near nagpur) (india),land,Maharashtra,in,India,fireball,60,1 minute,Orange Ball at Northern Sky moving from West to East for a minute,1/21/2008,21.1667,79.65,1
12/25/2011 18:30:00,2011-12-25,2011,Dec,25,Sunday,18:30:00,bhubaneswar (india),land,Odisha,in,India,fireball,2400,40 mins,Orange fiery ball in the sky,1/12/2012,20.296059,85.82454,1
11/26/2012 00:00:00,2012-11-26,2012,Nov,26,Monday,0:00:00,bhubaneswar (india),land,Odisha,in,India,other,120,1-2 minutes,While our games period was going on&#44 we observed a very peculiar shaped flying object. It was of black color with a shield of aura arou,12/20/2012,20.296059,85.82454,1
03/25/2013 21:45:00,2013-03-25,2013,Mar,25,Monday,21:45:00,bhuj (india),land,Gujurat,in,India,fireball,4,4 seconds,The Reddish Orange Light seen from various places in radius of 60 km the object was moving slowly from west to north,5/15/2013,23.242,69.666932,1
01/21/2004 20:15:00,2004-01-21,2004,Jan,21,Wednesday,20:15:00,bilaspur (india),land,Chhattisgarh,in,India,triangle,5,5 seconds,a ufo with bright light.,1/31/2004,22.079625,82.139141,1
05/09/2001 20:40:00,2001-05-09,2001,May,09,Wednesday,20:40:00,bombay (india),land,Maharashtra,in,India,,5,4to5 seconds,I and my friend were watching the star.suddenly we both saw a big flying object.it was flying above the clouds.it was transparent and h,8/5/2001,19.075984,72.877656,1
04/14/2012 19:30:00,2012-04-14,2012,Apr,14,Saturday,19:30:00,bongaigaon (assam) (india),land,Assam,in,India,circle,60,around 1 minute,Circular&#44silently moving object&#44 radiating golden yellow light in dark evening sky.,6/8/2012,26.4667,90.5667,1
09/20/2012 23:00:00,2012-09-20,2012,Sep,20,Thursday,23:00:00,bongaon (india),land,West Bengal,in,India,disk,120,about 2 minutes,Coin shaped yellowish object in West Bengal&#44 India.,9/24/2012,23.0667,88.8167,1
12/26/2005 19:15:00,2005-12-26,2005,Dec,26,Monday,19:15:00,buldana (india),land,Maharashtra,in,India,light,30,30 seconds,At 19.15 hrs on 26/12/2005 in Buldana Maharashtra state of India we saw a very bright light(just like a big star)travelling very slowly,2/14/2006,20.5333,76.1833,1
07/24/2008 21:00:00,2008-07-24,2008,Jul,24,Thursday,21:00:00,burhanpur (india,land,Madhya Pradesh,in,India,disk,50,50 seconds,UFO seen in India&#44 Burhanpur,8/12/2008,21.3,76.2333,1
10/28/2002 02:30:00,2002-10-28,2002,Oct,28,Monday,2:30:00,calcutta (india),land,West Bengal,in,India,disk,120,2 minutes,UFO seen from roof.,12/23/2002,22.572646,88.363895,1
02/12/2003 01:30:00,2003-02-12,2003,Feb,12,Wednesday,1:30:00,calcutta (india),land,West Bengal,in,India,oval,600,ten minutes,Two shiny UFOS&#39,7/16/2003,22.572646,88.363895,1
11/20/1992 01:30:00,1992-11-20,1992,Nov,20,Friday,1:30:00,calcutta (kolkata) (india),land,West Bengal,in,India,diamond,600,10 minutes,A sparkling ball with edges diffusing various coloured fashes.,12/19/2003,22.572646,88.363895,1
03/15/2009 19:30:00,2009-03-15,2009,Mar,15,Sunday,19:30:00,calicut (india),land,Kerala,in,India,other,300,less than 5 minutes,THREE ORANGE LIGHT SPOTS IN A STRAIGHT LINE&#44  MOVING EAST AT CONSTANT SPEED&#44 THEY ALL DISAPPEARED AT A CERTAIN AREA ONE BY ONE.,3/19/2009,11.258753,75.78041,1
04/25/1998 08:30:00,1998-04-25,1998,Apr,25,Saturday,8:30:00,chandigarh (india),land,Chandigarh,in,India,oval,45,45 seconds,Oval shaped&#44 Blinkin&#39 of lights,8/5/2001,30.733315,76.779418,1
04/23/2003 06:00:00,2003-04-23,2003,Apr,23,Wednesday,6:00:00,chandigarh (india),land,Chandigarh,in,India,unknown,60,1 minute,an unkown object with a long trail,4/27/2003,30.733315,76.779418,1
07/19/2006 00:00:00,2006-07-19,2006,Jul,19,Wednesday,0:00:00,chandigarh (india),land,Chandigarh,in,India,disk,20,20 sec.,My friends and i were sitting in the park when i while talking noticed a circilar disk sway around a building next door . I told friend,10/30/2006,30.733315,76.779418,1
12/21/2007 18:30:00,2007-12-21,2007,Dec,21,Friday,18:30:00,chandigarh (india),land,Chandigarh,in,India,fireball,15,15 seconds,The red object moved from one end to the other and then stopped,3/4/2008,30.733315,76.779418,1
01/04/2008 20:00:00,2008-01-04,2008,Jan,04,Friday,20:00:00,chandigarh (india),land,Chandigarh,in,India,oval,60,1 minute approx,Lights blinking or rotating in oval shap in night. Seen over chandigarh,1/21/2008,30.733315,76.779418,1
01/06/2008 20:00:00,2008-01-06,2008,Jan,06,Sunday,20:00:00,chandigarh (india),land,Chandigarh,in,India,oval,60,1 minute approx,Lights blinking or rotating in oval shap in night. Seen over chandigarh,1/21/2008,30.733315,76.779418,1
12/11/2011 00:00:00,2011-12-11,2011,Dec,11,Sunday,0:00:00,chandigarh (india),land,Chandigarh,in,India,other,150,120-150 s,Two box-like rotating objects nearly miss an airplane in the sky,12/12/2011,30.733315,76.779418,1
05/23/2013 23:00:00,2013-05-23,2013,May,23,Thursday,23:00:00,chandigarh (india),land,Chandigarh,in,India,light,18000,4-5 hours,I have been looking at balls of light it sky above chandigarh a city in india where I  live. its been about a month now since the first,6/2/2013,30.733315,76.779418,1
09/20/2013 19:48:00,2013-09-20,2013,Sep,20,Friday,19:48:00,chandigarh (india),land,Chandigarh,in,India,triangle,180,2-3 minutes,Saw UFO in chandigarh&#44 India while I was sleeping alone at the terrace at night.,10/23/2013,30.733315,76.779418,1
05/19/2003 21:45:00,2003-05-19,2003,May,19,Monday,21:45:00,chennai (india),land,Tamil Nadu,in,India,other,300,4 to 5 minutes,Dear Friends&#44 this incident took place on the 19&#39th of May 2003 when me and my friend David had gone to one of our regular late evening,6/3/2003,13.052414,80.250825,1
03/01/2005 01:25:00,2005-03-01,2005,Mar,01,Tuesday,1:25:00,chennai (india),land,Tamil Nadu,in,India,disk,180,3mins,2 crafts near by flying 4 3 mins,3/11/2006,13.052414,80.250825,1
05/13/2007 21:40:00,2007-05-13,2007,May,13,Sunday,21:40:00,chennai (india),land,Tamil Nadu,in,India,formation,600,betweet 5-10 minutes,A moving array of tiny lights past the sky centre line south to north&#44 sighted four times with 2-3 minutes interval.,6/12/2007,13.052414,80.250825,1
02/13/2009 22:14:00,2009-02-13,2009,Feb,13,Friday,22:14:00,chennai (india),land,Tamil Nadu,in,India,sphere,3,one and half hour,White spherical object revolving around its own axis having a random motion; from Chennai.  ((NUFORC Note:  &quot;Twinkling&quot; star?  PD)),3/19/2009,13.052414,80.250825,1
09/04/2009 07:30:00,2009-09-04,2009,Sep,04,Friday,7:30:00,chennai (india),land,Tamil Nadu,in,India,circle,300,5 min,blackhole like object seen in chennai,12/12/2009,13.052414,80.250825,1
11/01/2009 20:10:00,2009-11-01,2009,Nov,01,Sunday,20:10:00,chennai (india),land,Tamil Nadu,in,India,triangle,300,5 minutes,As you have mentioned in the characteristics an aircraft was around the event &amp; that object had lights emitting around it.,2/14/2010,13.052414,80.250825,1
03/08/2013 00:45:00,2013-03-08,2013,Mar,08,Friday,0:45:00,chennai (india),land,Tamil Nadu,in,India,circle,60,1 minute,I saw a glowing orange light moving slowly in one direction for about 1 to 1.30 mins. It was flying near to the ground&#44 not sure about.,5/15/2013,13.052414,80.250825,1
10/15/2013 18:25:00,2013-10-15,2013,Oct,15,Tuesday,18:25:00,chennai (india),land,Tamil Nadu,in,India,circle,30,30 seconds,Yellowish/orange sphere observed in the sky.,10/23/2013,13.052414,80.250825,1
11/12/2012 21:00:00,2012-11-12,2012,Nov,12,Monday,21:00:00,chennai (madras) (india),land,Tamil Nadu,in,India,circle,60,1 minutes,((No information from witness.)),11/19/2012,13.052414,80.250825,1
10/05/2012 19:20:00,2012-10-05,2012,Oct,05,Friday,19:20:00,chennai (tamil nadu) (india),land,Tamil Nadu,in,India,circle,120,2 minutes,A bigger bright light moving slowly&#44 in night sky for aprox. 2 min was seen&#44 no sound heard and suddenly the bright light started to di,10/30/2012,13.052414,80.250825,1
08/01/2007 08:02:00,2007-08-01,2007,Aug,01,Wednesday,8:02:00,chhindwara (india),land,Madhya Pradesh,in,India,disk,10,10seconds,An Disk-Shaped Ufo,8/7/2007,22.057437,78.938173,1
06/17/2012 00:00:00,2012-06-17,2012,Jun,17,Sunday,0:00:00,cochin (india),land,Kerala,in,India,disk,1800,30 minutes,UFO&#39s in cochin city &#44 India,7/4/2012,9.931233,76.267304,1
12/20/2012 02:00:00,2012-12-20,2012,Dec,20,Thursday,2:00:00,cochin (india),land,Kerala,in,India,cone,10,10 seconds,We were standing outside in terace&#44 we first saw 1 object going in good speed&#44 then after sometimes saw 2 other it was not a star or co,2/4/2013,9.931233,76.267304,1
08/10/2013 19:30:00,2013-08-10,2013,Aug,10,Saturday,19:30:00,cochin (india),land,Kerala,in,India,circle,5,5 seconds,Bright blue light appeared for seconds,8/30/2013,9.931233,76.267304,1
12/26/2004 13:30:00,2004-12-26,2004,Dec,26,Sunday,13:30:00,coimbatore (india),land,Tamil Nadu,in,India,disk,120,2min,Saucer shaped object brown metallic was seen descending just as i was watching the report on sea surges throughout asia thought these,1/11/2005,11.016845,76.955832,1
02/16/2008 00:00:00,2008-02-16,2008,Feb,16,Saturday,0:00:00,dasuya (india),land,Punjab,in,India,triangle,15,15 seconds,((HOAX??))  It was the festival of Dipawali in India.  Suddenly I noticed a triangle shape.,3/4/2008,31.813226,75.663738,1
05/30/2009 21:30:00,2009-05-30,2009,May,30,Saturday,21:30:00,dehradun (india),land,Uttarakhand,in,India,disk,2700,45 mins,Two Disc type objects of white colour were revolving around each other,6/9/2009,30.316495,78.032192,1
06/13/2012 21:50:00,2012-06-13,2012,Jun,13,Wednesday,21:50:00,dehradun (india),land,Uttarakhand,in,India,flash,1,1 second,Bright white flash size of a moon&#44 very fast moving south to west&#33,6/14/2012,30.316495,78.032192,1
01/23/2014 08:30:00,2014-01-23,2014,Jan,23,Thursday,8:30:00,dehradun (india),land,Uttarakhand,in,India,diamond,5,5 seconds,A blinking diamond.,1/24/2014,30.316495,78.032192,1
10/31/2011 20:30:00,2011-10-31,2011,Oct,31,Monday,20:30:00,dehradun (uttar pradesh) (india),land,Uttarakhand,in,India,flash,2,few seconds,It was a conical flare at very high speed( 50M?)&#44 no sound and it was there for few seconds.,12/12/2011,30.316495,78.032192,1
08/11/2009 19:00:00,2009-08-11,2009,Aug,11,Tuesday,19:00:00,dhubri (india),land,Assam,in,India,light,15,15 sec.,A bright Light in the frame while taking picture of a small boat on the River Brahmaputra.  ((NUFORC Note:  Barn owl in flight.  PD)),8/28/2009,26.0333,89.9667,1
12/07/2012 21:49:00,2012-12-07,2012,Dec,07,Friday,21:49:00,dibrugarh (india),land,Assam,in,India,changing,240,3-4 minute,Red/green light in the South East sky of Dibrugarh&#44 Assam&#44 India.,12/20/2012,27.472833,94.911962,1
03/08/2008 23:15:00,2008-03-08,2008,Mar,08,Saturday,23:15:00,dombivli (india),land,Maharashtra,in,India,oval,1500,25 min,Hi&#44 I was just gazing at the sky at the horizon on the East when I saw a light floating in the sky. First I thought that it may be a Ai,3/31/2008,19.209401,73.093948,1
10/31/2013 22:15:00,2013-10-31,2013,Oct,31,Thursday,22:15:00,erode (india),land,Tamil Nadu,in,India,rectangle,60,1 minute,Greenish box shape object at Erode&#44 India.,11/11/2013,11.35,77.733333,1
07/19/2009 06:05:00,2009-07-19,2009,Jul,19,Sunday,6:05:00,faizabad (india),land,Uttar Pradesh,in,India,cigar,300,5 minutes,It was highly illuminated and a trail of green color was seen behind it. It had silver colored windows and was moving very fast towards,8/27/2009,26.78,82.13,1
08/01/2008 19:33:00,2008-08-01,2008,Aug,01,Friday,19:33:00,faridabad (india),land,Haryana,in,India,disk,2,few seconds,a huge bright orange sphere appeared in a photograph clicked by me. 500 Lights On Object0: Yes,8/12/2008,28.408912,77.317789,1
05/10/2001 22:30:00,2001-05-10,2001,May,10,Thursday,22:30:00,ghaziabad (india),land,Uttar Pradesh,in,India,,2631600,1  month,MASKED  THAT SCTRACHED &amp;HIT&#44   FLY HIGH  &amp;AFFECTED REPORTED  LOSS OF BODY CONTROL,8/5/2001,28.669157,77.453758,1
10/04/2000 17:00:00,2000-10-04,2000,Oct,04,Wednesday,17:00:00,goa (india),land,Goa,in,India,other,600,10 minutes,While driving back from Panji to Goa we observed three peculiar cloud formations stacked one above the other.The sky was clear and the,12/2/2000,15.299327,74.123996,1
10/12/2005 19:35:00,2005-10-12,2005,Oct,12,Wednesday,19:35:00,gurgaon (india),land,Haryana,in,India,oval,420,5-7 minutes,Blue oval ball over Gurgaon sky line,10/20/2005,28.459497,77.026638,1
11/13/2012 23:18:00,2012-11-13,2012,Nov,13,Tuesday,23:18:00,gurgaon (india),land,Haryana,in,India,fireball,15,15 seconds,Yellowish/blue sphere seen in gurgaon sky&#44 india.,11/19/2012,28.459497,77.026638,1
11/30/2012 17:42:00,2012-11-30,2012,Nov,30,Friday,17:42:00,gurgaon (india),land,Haryana,in,India,fireball,5,5 seconds,I was coming out of my office when i noticed a red &amp; green ball of fire in the sky travelling at a very high speed. I was not visible.,12/20/2012,28.459497,77.026638,1
07/16/2012 23:05:00,2012-07-16,2012,Jul,16,Monday,23:05:00,gurgaong (india),land,Haryana,in,India,fireball,2,2 seconds,Short blue ball of light flashed on Gurgaon skies in North India state of Haryana-16th July 2012 @ 23:05.,8/5/2012,28.459497,77.026638,1
11/24/2003 17:50:00,2003-11-24,2003,Nov,24,Monday,17:50:00,guwahati (india),land,Assam,in,India,light,300,5 min,2 objects in a ziz zag pattern crossing the clear evening sky over Guwahati state capital of Assam India,11/26/2003,26.144517,91.736237,1
11/18/2013 19:00:00,2013-11-18,2013,Nov,18,Monday,19:00:00,hamirpur (india),land,Himachal Pradesh,in,India,light,10,10 seconds,Fast bright light in sky.,11/20/2013,31.686175,76.521309,1
12/25/2004 01:25:00,2004-12-25,2004,Dec,25,Saturday,1:25:00,hardwar (uttarakhand) (india),land,Uttarakhand,in,India,circle,120,2 minutes,Yellow hollow ring in the sky.,4/11/2014,29.945691,78.164248,1
05/03/2014 22:15:00,2014-05-03,2014,May,03,Saturday,22:15:00,hoshiarpur (india),land,Punjab,in,India,fireball,5,5 seconds,Unknown three fireballs.,5/8/2014,31.5322,75.9172,1
04/20/1980 00:00:00,1980-04-20,1980,Apr,20,Sunday,0:00:00,hyderabad (india),land,Telangana,in,India,other,1200,15 mts.,Bell shaped Cloud appears over Indian city&#44 three smaller ones appear below it&#44 they all merge together forming a bright orange ball,3/2/2004,17.385044,78.486671,1
10/14/2007 04:30:00,2007-10-14,2007,Oct,14,Sunday,4:30:00,hyderabad (india),land,Telangana,in,India,light,900,15 minutes,Treasure Island&#44 Gandipet&#44 Hyderabad&#44 14th October 2007&#44 4:30 am&#44 Bright Light in the sky moving and blinking every 10 seconds &#33,11/28/2007,17.385044,78.486671,1
02/27/2010 18:00:00,2010-02-27,2010,Feb,27,Saturday,18:00:00,hyderabad (india),land,Telangana,in,India,unknown,2,few seconds,This is the second report I am submitting as I have sighted two UFOs thus far. The first was when I was studying in Bangalore&#44 India&#44 i,4/13/2010,17.385044,78.486671,1
07/20/2010 21:55:00,2010-07-20,2010,Jul,20,Tuesday,21:55:00,hyderabad (india),land,Telangana,in,India,fireball,1200,20min,It was a burning flame(with out candel),11/21/2010,17.385044,78.486671,1
04/11/2012 06:30:00,2012-04-11,2012,Apr,11,Wednesday,6:30:00,hyderabad (india),land,Telangana,in,India,sphere,5400,1.5 hour,Spherical UFO seen in India&#44 Apr 11-2012,5/13/2012,17.385044,78.486671,1
06/06/2012 19:40:00,2012-06-06,2012,Jun,06,Wednesday,19:40:00,hyderabad (india),land,Telangana,in,India,light,120,more than 2minuts,We have observed a bright object moving considerably fast towards North from South..Simultaneously observed from Bang lore also.,6/8/2012,17.385044,78.486671,1
12/15/2013 20:08:00,2013-12-15,2013,Dec,15,Sunday,20:08:00,hyderabad (india),land,Telangana,in,India,other,120,2 minutes,seen an orange coloured bell shaped object in the sky.,12/23/2013,17.385044,78.486671,1
04/03/2014 19:15:00,2014-04-03,2014,Apr,03,Thursday,19:15:00,hyderabad (india),land,Telangana,in,India,flash,60,60 seconds,Bright Orange Blob observed moving across Evening Eastern Sky of Hyderabad.,4/4/2014,17.385044,78.486671,1
09/12/2013 00:00:00,2013-09-12,2013,Sep,12,Thursday,0:00:00,imphal (india),land,Manipur,in,India,triangle,1053,17:33,It was in triangle shape emitting blue and green light.,11/11/2013,24.817011,93.936844,1
06/24/2004 01:15:00,2004-06-24,2004,Jun,24,Thursday,1:15:00,india,land,,in,India,cigar,15,15 seconds,I saw a cigar shaped craft.,7/8/2004,20.593684,78.96288,1
03/24/2007 06:30:00,2007-03-24,2007,Mar,24,Saturday,6:30:00,india,land,,in,India,unknown,300,5 minutes,an unknown shaped onject ejecting reddish flames fr its tail but moving along the horizon,4/27/2007,20.593684,78.96288,1
04/25/2007 02:00:00,2007-04-25,2007,Apr,25,Wednesday,2:00:00,india,land,,in,India,rectangle,900,15 minutes,UFO and creature sighted at 2:00 AM in the morning.,6/12/2007,20.593684,78.96288,1
05/20/2004 00:15:00,2004-05-20,2004,May,20,Thursday,0:15:00,indore (india),land,Madhya Pradesh,in,India,flash,14400,4 hours,V-shaped light being focus towards sky which would last for 5to 10 sec .,6/4/2004,22.719569,75.857726,1
11/19/2003 00:48:00,2003-11-19,2003,Nov,19,Wednesday,0:48:00,jaipur (india),land,Rajasthan,in,India,oval,8,8 sec,A group of UFO&#39s were seen&#44 having no lights black and metallic lustre and no shine.,11/26/2003,26.912417,75.787288,1
01/26/2009 20:30:00,2009-01-26,2009,Jan,26,Monday,20:30:00,jaipur (india),land,Rajasthan,in,India,light,5400,1.5 hour,I am resident of jaipur &#44at 8.30 PM on 26 jan 2009. I saw an object like star but 3-4 times bigger and blinking brightly more than a st,3/19/2009,26.912417,75.787288,1
12/23/2012 14:20:00,2012-12-23,2012,Dec,23,Sunday,14:20:00,jaipur (india),land,Rajasthan,in,India,fireball,120,2 minutes,We believe it  was a UFO as it was a very bright circle of fire flying  and hovering  like no man made machine does.,2/4/2013,26.912417,75.787288,1
04/29/2001 04:30:00,2001-04-29,2001,Apr,29,Sunday,4:30:00,jalandhar (india),land,Punjab,in,India,fireball,10800,3 hours,The fireball is continously seen here up in the sky at night for last three days. I think that Indian army don&#39t know how to make conta,8/5/2001,31.326015,75.576183,1
11/26/2007 00:00:00,2007-11-26,2007,Nov,26,Monday,0:00:00,jalgaon (india),land,Maharashtra,in,India,fireball,60,1 minute,my mom&#44 me&#44 my dog we were in large open ground. we r walking there.we saw that FireBall in the sky direction of south side.that fire b,3/4/2008,21.0167,75.5667,1
08/03/2004 20:00:00,2004-08-03,2004,Aug,03,Tuesday,20:00:00,jammu (india),land,Jammu,in,India,light,2700,45 minutes,We saw a star like object&#44twinkling like a star but with differentiable irregularity and changing location and brightness.The object wa,9/9/2004,32.726602,74.857026,1
10/29/2005 08:00:00,2005-10-29,2005,Oct,29,Saturday,8:00:00,jamshedpur (india),land,Jharkhand,in,India,other,18000,5 hours,I saw  a ufo which appearerd to be a star to me.,11/3/2005,22.804567,86.202875,1
06/18/2013 10:58:00,2013-06-18,2013,Jun,18,Tuesday,10:58:00,kannur (india),land,Kerala,in,India,disk,2,2 seconds,http://newindianexpress.com/states/kerala/Army-Major-captures-UFO-in-Kerala/2013/06/18/article1640262.ece,9/30/2013,11.874478,75.370366,1
